date,action,symbol,shares,price,amount
2024-03-07,SELL,PLX,1014600,34.91999816894531,35376685.3969986
2024-03-07,SELL,VIC,1129200,22.799999237060547,25707140.49978104
2024-03-07,SELL,VNM,407200,62.97999954223633,25606987.629878238
2024-03-07,BUY,STB,1867700,31.299999237060547,58546697.08792057
2024-03-07,BUY,FPT,727400,80.36000061035156,58541545.24063568
2024-03-07,BUY,MSN,723500,80.80000305175781,58546490.411258705
2024-03-07,BUY,LPB,4385600,13.329999923706055,58547737.736903384
2024-03-08,SELL_STOP,VRE,6719300,25.399999618530273,170414212.11063528
2024-03-08,SELL,STB,1867700,30.649999618530273,57159136.7810977
2024-03-08,SELL,MBB,5413600,15.050000190734863,81352469.01101342
2024-03-08,SELL,FPT,727400,79.41999816894531,57683451.508088686
2024-03-08,SELL,MSN,723500,78.5,56709557.875
2024-03-08,SELL,LPB,4385600,12.880000114440918,56401798.70913926
2024-03-08,BUY,SHB,4522800,8.5,38501465.7
2024-03-08,BUY,VHM,903400,42.54999923706055,38497328.81472664
2024-03-08,BUY,CTG,1623400,23.68000030517578,38499775.6641655
2024-03-08,BUY,TPB,2864600,13.420000076293945,38500596.61687946
2024-03-08,BUY,VRE,1513500,25.399999618530273,38500563.77177954
2024-03-08,BUY,VIB,2682700,14.329999923706055,38500755.431519225
2024-03-08,BUY,GAS,563900,68.16999816894531,38498723.56041947
2024-03-11,SELL_STOP,BID,717300,41.290000915527344,29572891.680222705
2024-03-11,SELL,SHB,4522800,8.279999732971191,37392609.618093684
2024-03-11,SELL,TPB,2864600,13.34000015258789,38156443.790447615
2024-03-11,SELL,CTG,1623400,23.440000534057617,37995418.12168866
2024-03-11,SELL,VHM,903400,42.54999923706055,38382009.80679436
2024-03-11,BUY,BID,665600,41.290000915527344,27523848.546289064
2024-03-11,BUY,FPT,346000,79.41999816894531,27520538.345504764
2024-03-11,BUY,PLX,821100,33.470001220703125,27523441.32932282
2024-03-11,BUY,MSN,354600,77.5,27522722.250000004
2024-03-11,BUY,VIC,1239100,22.18000030517578,27524463.235710528
2024-03-12,SELL,BID,665600,42.52000045776367,28258860.33623047
2024-03-12,SELL,FPT,346000,80.79000091552734,27911410.306297302
2024-03-12,SELL,PLX,821100,33.849998474121094,27752542.39648018
2024-03-12,SELL,VRE,1513500,25.200000762939453,38082990.8529768
2024-03-12,SELL,VIB,2682700,14.15999984741211,37930051.04326649
2024-03-12,BUY,BSR,8426000,11.369999885559082,95947324.4642744
